professor_id,name_ko,name_en,university,department,primary_field,openalex_id,source_url,orcid,identity_status,scopus_id
P0122,한경구,,Seoul National University,자유전공학부 바로가기,,,https://cls.snu.ac.kr/snu__professor/%ed%95%9c%ea%b2%bd%ea%b5%ac_%ec%a0%84%ec%9e%84_%ec%a0%84%ec%a7%81/,0009-0002-9664-4312,verified,
P0123,김상은,Sang Eun Kim,Seoul National University,자유전공학부 바로가기,"Radiology, Nuclear Medicine and Imaging",A5101707931,https://cls.snu.ac.kr/snu__professor/%ea%b9%80%ec%84%b1%ec%9d%bc_%ea%b2%b8%eb%ac%b4_%ec%a0%84%ec%a7%81/,0000-0003-1434-8369,probable,
P0124,김용대,Yongdae Kim,Seoul National University,자유전공학부 바로가기,Materials Chemistry,A5075447526,https://idea-stat.snu.ac.kr/,0009-0003-5645-2858,probable,
P0126,이상혁,,Seoul National University,자유전공학부 바로가기,,,https://cls.snu.ac.kr/snu__professor/%ec%9d%b4%ec%83%81%ed%98%81_%ea%b2%b8%eb%ac%b4_%ec%a0%84%ec%a7%81/,0009-0009-9330-8269,verified,
P0127,강규석,Kyu‐Suk Kang,Seoul National University,농업생명과학대학(8개),"Ecology, Evolution, Behavior and Systematics",A5063078396;A5102420299,http://cals.snu.ac.kr/about/organization/search/faculty?page=1&mode=view&profidx=3,0000-0002-2368-5423,verified,
P0128,강동현,Dong Hyeon Kang,Seoul National University,농업생명과학대학(8개),Plant Science,A5043972832,http://cals.snu.ac.kr/about/organization/search/faculty?page=1&mode=view&profidx=4,,probable,
P0129,강문성,Moon‐Seong Kang,Seoul National University,농업생명과학대학(8개),Water Science and Technology,A5065573574,http://cals.snu.ac.kr/about/organization/search/faculty?page=1&mode=view&profidx=5,0000-0001-7344-1905,verified,
P0130,강준석,Jun-Seok Kang,Seoul National University,농업생명과학대학(8개),Surgery,A5087568409,http://cals.snu.ac.kr/about/organization/search/faculty?page=1&mode=view&profidx=7,0000-0001-5969-9176,probable,
P0131,강창구,Changku Kang,Seoul National University,농업생명과학대학(8개),"Ecology, Evolution, Behavior and Systematics",A5016920715,http://cals.snu.ac.kr/about/organization/search/faculty?page=1&mode=view&profidx=159,0000-0003-3707-4989,verified,
P0132,권재영,Jae Young Kwon,Sungkyunkwan University,Faculty 1 페이지,Cellular and Molecular Neuroscience,A5039577998,http://bio.skku.edu/bbs/board.php?bo_table=F1&wr_id=72,0000-0002-5275-5662,verified,
P0133,김승철,Seung-Chul Kim,Sungkyunkwan University,Faculty 1 페이지,"Ecology, Evolution, Behavior and Systematics",A5100777880,http://bio.skku.edu/bbs/board.php?bo_table=F1&wr_id=71,0000-0003-0559-6782,verified,
P0134,김홍숙,Hong Sook Kim,Sungkyunkwan University,Faculty 1 페이지,Oncology,A5061799347,http://bio.skku.edu/bbs/board.php?bo_table=F1&wr_id=65,0000-0003-0971-0853,verified,
P0135,양시영,Siyoung Yang,Sungkyunkwan University,Faculty 1 페이지,Rheumatology,A5074548240;A5133767757,http://bio.skku.edu/bbs/board.php?bo_table=F1&wr_id=62,0000-0002-6374-0140,verified,
P0136,이대한,Daehan Lee,Sungkyunkwan University,Faculty 1 페이지,Aging,A5009660139;A5140726843;A5133227041,http://bio.skku.edu/bbs/board.php?bo_table=F1&wr_id=60,0000-0002-0546-8484,verified,
P0137,이재성,Jae-Seong Lee,Sungkyunkwan University,Faculty 1 페이지,"Health, Toxicology and Mutagenesis",A5021296521;A5074029439;A5137820427;A5136628728;A5136904401,http://bio.skku.edu/bbs/board.php?bo_table=F1&wr_id=58,0000-0003-0944-5172,verified,
P0138,정수명,Su Myung Jung,Sungkyunkwan University,Faculty 1 페이지,Physiology,A5113983336,http://bio.skku.edu/bbs/board.php?bo_table=F1&wr_id=56,0000-0002-7074-3438,probable,
P0139,조홍백,Hongbaek Cho,Sungkyunkwan University,Faculty 1 페이지,Genetics,A5085542419,http://bio.skku.edu/bbs/board.php?bo_table=F1&wr_id=54,0000-0001-9360-6981,verified,
P0140,최동희,Donghui Choe,Sungkyunkwan University,Faculty 1 페이지,Molecular Biology,A5060226532,http://bio.skku.edu/bbs/board.php?bo_table=F1&wr_id=52,0000-0003-1107-7380,verified,
P0141,남태규,Tae‐gyu Nam,Hanyang University,약학대학,Cancer Research,A5071300207,http://pharmacy.hanyang.ac.kr/front/professors-en/view?id=15,0000-0002-5292-9335,probable,
P0142,배옥남,Ok‐Nam Bae,Hanyang University,약학대학,Physiology,A5051964998;A5072297766;A5128756617,http://pharmacy.hanyang.ac.kr/front/professors-en/view?id=13,0000-0003-0583-2116,verified,
P0143,주재열,Jae‐Yeol Joo,Hanyang University,약학대학,Molecular Biology,A5080059317,http://pharmacy.hanyang.ac.kr/front/professors-en/view?id=69,0000-0003-2571-3173,verified,
P0144,금민정,Min Jung Geum,Hanyang University,약학대학,Geriatrics and Gerontology,A5072109887;A5137386977,http://pharmacy.hanyang.ac.kr/front/professors/professor#website,0000-0001-8493-4078,verified,
P0145,김동욱,Dong-Uk Kim,Hanyang University,약학대학,Molecular Biology,A5102023146,http://pharmacy.hanyang.ac.kr/front/professors-en/view?id=7,0000-0003-3908-8698,probable,
P0146,김영미,Yeong Mi Kim,Hanyang University,약학대학,Organic Chemistry,A5000896651,http://pharmacy.hanyang.ac.kr/front/professors-en/view?id=18,,probable,
P0147,김철영,,Hanyang University,약학대학,,,http://pharmacy.hanyang.ac.kr/front/professors-en/view?id=8,0009-0004-5387-0189,verified,
P0148,임형신,Hyungshin Yim,Hanyang University,약학대학,Cell Biology,A5042191727,http://pharmacy.hanyang.ac.kr/front/professors-en/view?id=11,0000-0001-7945-3472,verified,
P0149,최한곤,Han‐Gon Choi,Hanyang University,약학대학,Pharmaceutical Science,A5034418015;A5110010010;A5121472998,http://pharmacy.hanyang.ac.kr/front/professors-en/view?id=4,0000-0002-2318-387X,verified,
